Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.001722222;27.26254;10.87538;100.0034943;1.275171;0.02951856;0.1882336;100.0307;0.08867255
0.004166667;27.29945;10.87526;100.0023908;1.277584;0.02973452;0.1896417;100.011;0.08829064
0.0125;27.34496;10.87514;100.0012874;1.277292;0.02966398;0.1891978;100.0037;0.08826444
0.02083334;27.38415;10.875;100;1.277206;0.02961038;0.188865;99.99332;0.08787812
0.02916666;27.42016;10.87487;99.9988046;1.277079;0.02953816;0.1884163;100.0049;0.08750191
0.0375;27.45766;10.87469;99.99714943;1.276983;0.02945766;0.1879175;99.97657;0.08748514
0.04583334;27.50044;10.87444;99.99485057;1.277;0.02938088;0.1874452;100.0414;0.08710636
0.05416668;27.53434;10.87417;99.99236782;1.277133;0.02930899;0.1870071;100.0013;0.08709108
0.0625;27.57185;10.87388;99.98970115;1.277072;0.02919541;0.1863056;100.0068;0.08671434
0.07083332;27.60748;10.87354;99.98657471;1.276992;0.02906787;0.1855172;99.9412;0.08669524
0.07916666;27.64934;10.87319;99.98335632;1.276444;0.02885889;0.1842112;100.0336;0.08630832
0.0875;27.68828;10.87283;99.98004598;1.276017;0.02866558;0.1830051;100.0382;0.08629058
0.09583332;27.72361;10.87246;99.97664368;1.275342;0.02843725;0.1815745;99.93706;0.08590842
0.1041666;27.76086;10.87208;99.97314943;1.274198;0.02814094;0.1797091;100.0705;0.08589
0.1125;27.79334;10.87168;99.96947126;1.272965;0.02783194;0.177762;99.92461;0.08550525
0.1208333;27.82956;10.87129;99.96588506;1.271919;0.02755213;0.1760008;100.0263;0.08548774
0.1291666;27.87008;10.8709;99.96229885;1.270604;0.02723266;0.1739858;99.99069;0.08509625
0.1375;27.90478;10.87053;99.95889655;1.26865;0.02681836;0.1713641;100.0418;0.08508222
0.1458333;27.94236;10.87013;99.95521839;1.266414;0.02636217;0.1684738;99.98949;0.08469759
0.1541667;27.97644;10.86975;99.95172414;1.263854;0.02585732;0.1652717;99.99125;0.08468351
0.1625;28.01614;10.86935;99.94804598;1.261675;0.02541111;0.1624432;99.99468;0.08430061
