Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.000555556;23.64474;12.2884;99.99511758;2.956604;0.2961996;1.861928;100.0177;0.04023604
0.004166667;23.64999;12.28824;99.99381561;2.932404;0.2925833;1.839115;100.036;0.0402343
0.0125;23.65454;12.28808;99.99251363;2.93205;0.2925236;1.83875;99.99269;0.04023278
0.02083334;23.64954;12.28795;99.99145577;2.930791;0.292327;1.837524;99.90207;0.04023445
0.02916666;23.65575;12.2878;99.99023517;2.928879;0.2920299;1.835669;100.1283;0.04023238
0.0375;23.65928;12.28762;99.98877045;2.926139;0.2916054;1.833017;99.95847;0.04023119
0.04583334;23.65019;12.28744;99.98730572;2.923038;0.2911287;1.830032;99.99701;0.04023422
0.05416668;23.64995;12.28724;99.98567825;2.919103;0.2905274;1.826262;99.9898;0.0402343
0.0625;23.65216;12.28704;99.98405078;2.91461;0.2898414;1.821959;99.98459;0.04023357
0.07083332;23.6484;12.28685;99.98250468;2.909618;0.2890787;1.817175;100.0518;0.04023483
0.07916666;23.64567;12.28665;99.98087721;2.904274;0.2882665;1.812075;100.0034;0.04023573
0.0875;23.65392;12.28647;99.97941248;2.89836;0.2873689;1.806436;99.98322;0.04023298
0.09583332;23.65518;12.28629;99.97794776;2.891636;0.2863488;1.800027;99.98087;0.04023256
0.1041666;23.65482;12.28607;99.97615754;2.885095;0.285356;1.793791;99.99939;0.04023268
0.1125;23.65473;12.28584;99.97428595;2.878624;0.2843765;1.787633;99.98481;0.04023271
0.1208333;23.65254;12.28564;99.97265848;2.872348;0.2834278;1.781666;100.0518;0.04023344
0.1291666;23.65094;12.28541;99.97078688;2.86505;0.2823244;1.774728;99.96965;0.04023398
0.1375;23.66449;12.28518;99.96891529;2.858053;0.2812603;1.768046;99.97378;0.04022944
0.1458333;23.66433;12.28498;99.96728782;2.851284;0.2802295;1.761576;99.96222;0.0402295
0.1541667;23.6614;12.28476;99.9654976;2.843956;0.279116;1.754582;100.0156;0.04023048
0.1625;23.67373;12.28456;99.96387013;2.835982;0.2778972;1.746939;100.0748;0.04022634
0.1708334;23.67394;12.28437;99.96232403;2.827872;0.2766595;1.739174;99.99055;0.04022628
0.1791666;23.67983;12.28413;99.96037106;2.819864;0.2754363;1.731502;100.03;0.04022429
0.1875;23.68018;12.28389;99.9584181;2.811758;0.2741986;1.723738;99.95034;0.04022418
0.1958334;23.68736;12.28369;99.95679063;2.803462;0.2729294;1.71578;99.96313;0.04022175
0.2041667;23.69891;12.28346;99.95491903;2.794783;0.2715997;1.707445;100.0157;0.04021784
0.2125;23.70154;12.28325;99.95321019;2.786536;0.2703272;1.699483;99.99881;0.04021696
0.2208333;23.71396;12.28306;99.95166409;2.777899;0.2689987;1.691163;100.0505;0.04021274
0.2291667;23.70828;12.28284;99.94987387;2.768852;0.2676079;1.682453;99.96625;0.04021467
0.2375;23.71906;12.28262;99.94808365;2.759664;0.266195;1.673604;99.98716;0.03980475
0.2458334;23.72807;12.28239;99.94621206;2.750585;0.264796;1.664846;99.96929;0.03980198
0.2541666;23.73172;12.28217;99.94442184;2.74123;0.2633552;1.655825;100.0411;0.03980087
0.2625;23.74557;12.28193;99.94246887;2.731892;0.2619164;1.646818;100.0554;0.0397966
0.2708334;23.7543;12.28173;99.9408414;2.72274;0.2604993;1.637956;99.91242;0.03979389
0.2791667;23.76776;12.28152;99.93913256;2.712882;0.2589735;1.628413;99.99901;0.03978971
0.2875;23.78346;12.28128;99.93717959;2.702804;0.2574112;1.618645;100.0472;0.03978482
0.2958333;23.79931;12.28106;99.93538937;2.692716;0.2558457;1.608859;99.9863;0.03977985
0.3041667;23.80603;12.28082;99.93343641;2.682758;0.2542975;1.599184;99.98442;0.03977774
0.3125;23.81965;12.28057;99.93140207;2.672325;0.2526749;1.589046;100.0333;0.0393808
0.3208333;23.83528;12.28034;99.92953047;2.662353;0.2511157;1.579314;100.0416;0.03937539
0.3291667;23.84584;12.28013;99.92782163;2.65207;0.2495106;1.569292;99.97936;0.0393717
0.3375;23.86302;12.27988;99.92578729;2.641674;0.2478832;1.559136;100.0112;0.0393657
0.3458333;23.87953;12.27967;99.92407844;2.631294;0.2462546;1.548977;99.98684;0.03935989
0.3541666;23.89842;12.27942;99.9220441;2.620442;0.2445534;1.538362;100.008;0.0393532
0.3625;23.91577;12.27917;99.92000976;2.60999;0.2429096;1.528113;99.92442;0.0389595
0.3708334;23.92964;12.27892;99.91797543;2.599983;0.2413334;1.518287;99.98922;0.03895502
0.3791666;23.952;12.27869;99.91610383;2.589852;0.2397363;1.508331;99.96938;0.03894778
0.3875;23.97664;12.27844;99.91406949;2.579554;0.238109;1.498192;100.0917;0.03893974
0.3958334;23.99558;12.2782;99.91211653;2.569282;0.2364821;1.48806;99.98769;0.0389335
0.4041666;24.01707;12.27796;99.91016356;2.558357;0.2347535;1.477289;99.96759;0.03854962
0.4125;24.04056;12.27773;99.90829197;2.547813;0.2330792;1.466865;99.99071;0.03854283
0.4208333;24.06456;12.27749;99.906339;2.5376;0.2314497;1.456729;100.0199;0.03853584
0.4291667;24.08701;12.27725;99.90438604;2.527344;0.2298133;1.446548;100.0142;0.03852926
0.4375;24.11144;12.27704;99.90267719;2.517213;0.228194;1.436476;100.0224;0.03815561
0.4458333;24.14109;12.27681;99.9008056;2.507058;0.226566;1.426355;100.0209;0.03814632
0.4541667;24.16753;12.27662;99.8992595;2.496337;0.2248472;1.415668;99.95176;0.03813794
0.4625;24.19602;12.2764;99.89746928;2.485799;0.2231551;1.405149;100.0019;0.03812886
0.4708334;24.22133;12.27616;99.89551632;2.47518;0.2214469;1.394532;100.0051;0.03776062
0.4791666;24.2523;12.27593;99.89364472;2.46457;0.2197387;1.383916;99.97656;0.03775176
0.4875;24.28145;12.27571;99.8918545;2.454423;0.2180966;1.373718;99.98074;0.03774333
0.4958334;24.30566;12.27545;99.88973879;2.444142;0.2164326;1.363384;100.0061;0.03738472
0.5041666;24.34098;12.27525;99.88811132;2.433593;0.2147278;1.352791;99.99514;0.03737483
0.5125;24.37806;12.27504;99.88640247;2.423222;0.2130424;1.342329;100.0453;0.03736433
0.5208332;24.4063;12.27482;99.88461225;2.412628;0.2113204;1.331638;100.0132;0.03701233
0.5291666;24.44594;12.27461;99.88290341;2.402022;0.2095952;1.320926;100.0087;0.03700163
0.5375;24.4795;12.27438;99.88103182;2.391986;0.2079528;1.310738;99.89247;0.03699248
0.5458334;24.52134;12.27416;99.8792416;2.38174;0.2062729;1.300319;100.1062;0.03664539
0.5541668;24.55132;12.27395;99.87753275;2.371413;0.2045814;1.289824;99.98984;0.0366377
0.5625;24.5903;12.27377;99.87606803;2.361175;0.2028987;1.279388;99.99637;0.0362989
0.5708332;24.6281;12.27355;99.87427781;2.350897;0.2012074;1.268899;99.99147;0.03629105
0.5791666;24.66644;12.27336;99.87273171;2.340522;0.1994965;1.25829;100.047;0.036283
0.5875;24.70708;12.27313;99.87086012;2.330094;0.1977742;1.247611;99.93908;0.03595713
0.5958334;24.75098;12.2729;99.86898853;2.319727;0.1960602;1.236983;99.99481;0.03594664
0.6041668;24.79037;12.27269;99.86727968;2.309477;0.1943609;1.226448;99.94259;0.03562647
0.6125;24.8392;12.27249;99.86565221;2.299366;0.1926778;1.216019;100.057;0.03561475
0.6208334;24.88537;12.27229;99.86402474;2.288722;0.1909111;1.205064;100.0304;0.03529778
0.6291666;24.92379;12.27208;99.86231589;2.2779;0.189118;1.193938;99.97391;0.0352892
0.6375;24.97374;12.27188;99.86068842;2.267328;0.1873566;1.183016;99.96549;0.0352779
0.6458332;25.0234;12.27167;99.85897958;2.256778;0.1855943;1.17209;100.0834;0.03496686
0.6541666;25.06642;12.27146;99.85727073;2.24648;0.183868;1.161392;99.99588;0.03495782
0.6625;25.1123;12.27128;99.85580601;2.236177;0.182139;1.150675;99.96278;0.03465386
0.6708334;25.17481;12.27109;99.85425991;2.225979;0.1804194;1.140022;100.0326;0.03464007
0.6791668;25.22237;12.2709;99.85271381;2.21572;0.1786876;1.129293;99.98402;0.03434136
0.6875;25.26694;12.27072;99.85124908;2.205288;0.1769274;1.118382;99.98262;0.0343332
0.6958332;25.32182;12.2705;99.84945887;2.194764;0.1751523;1.107376;100.0044;0.03404321
0.7041666;25.37576;12.27028;99.84766865;2.18483;0.1734637;1.096916;100.0423;0.03403372
