Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.002388889;24.00504;11.88063;99.99688578;4.53739;0.5335644;3.358986;99.9516;0.03828232
0.004166667;23.99781;11.88055;99.99621244;4.522613;0.531344;3.344972;100.0524;0.0382825
0.0125;24.00363;11.8805;99.9957916;4.51958;0.5308922;3.342112;99.97464;0.03828236
0.02083334;23.99709;11.88047;99.9955391;4.51531;0.5302539;3.338075;99.98243;0.03828252
0.02916666;23.99618;11.8804;99.99494992;4.509612;0.5294016;3.332688;100.0096;0.03828255
0.0375;23.99492;11.88034;99.99444491;4.502208;0.528292;3.325678;100.056;0.03828258
0.04583334;23.99177;11.88032;99.99427658;4.493708;0.5270176;3.317628;100.0323;0.03828266
0.05416668;23.98978;11.88032;99.99427658;4.483852;0.5255402;3.308296;99.9133;0.03828271
0.0625;23.99059;11.88026;99.99377157;4.472574;0.523847;3.297608;100.0175;0.03828269
0.07083332;23.99929;11.88022;99.9934349;4.459856;0.521934;3.28554;100.0394;0.03828247
0.07916666;23.99589;11.88018;99.99309822;4.446063;0.519856;3.272442;99.93726;0.03828256
0.0875;23.99269;11.88014;99.99276155;4.43195;0.517725;3.25902;100.0283;0.03828264
0.09583332;23.99575;11.88009;99.99234071;4.418258;0.5156589;3.246004;100.0362;0.03828256
0.1041666;23.99439;11.88004;99.99191987;4.404439;0.5135717;3.232859;99.99609;0.03828259
0.1125;23.99266;11.87997;99.9913307;4.390346;0.5114416;3.219449;99.95778;0.03828264
0.1208333;23.9968;11.87989;99.99065735;4.376486;0.5093469;3.20626;100.0004;0.03828253
0.1291666;23.99294;11.8798;99.98989984;4.362578;0.5072434;3.19302;100.0591;0.03828263
0.1375;23.99707;11.8797;99.98905816;4.348801;0.5051564;3.179893;99.97997;0.03828252
0.1458333;24.00102;11.87964;99.98855315;4.334872;0.5030469;3.166622;99.96571;0.03828242
0.1541667;24.00563;11.87959;99.98813231;4.320805;0.500915;3.153213;99.9603;0.03828231
0.1625;24.0092;11.87949;99.98729063;4.306322;0.49872;3.139409;100.0291;0.03828222
0.1708334;24.00862;11.87941;99.98661729;4.291934;0.496537;3.125685;99.98749;0.03828223
0.1791666;24.01858;11.87932;99.98585978;4.27761;0.494361;3.112011;100.0266;0.03828198
0.1875;24.0187;11.87921;99.98493393;4.26314;0.49216;3.098187;99.99238;0.03828198
0.1958334;24.02136;11.87912;99.98417642;4.248864;0.4899886;3.084548;100.0216;0.03828192
0.2041667;24.02838;11.87904;99.98350307;4.23468;0.4878269;3.07098;99.97541;0.03828174
0.2125;24.0325;11.87893;99.98257722;4.219766;0.485553;3.05671;100.0077;0.03828164
0.2208333;24.04098;11.87884;99.98181971;4.204788;0.4832664;3.042367;100.0171;0.03828142
0.2291667;24.0437;11.87871;99.98072553;4.189876;0.4809889;3.028083;100.0005;0.03828135
0.2375;24.05231;11.87856;99.97946301;4.174976;0.478713;3.01381;100.0035;0.03828113
0.2458334;24.0637;11.87846;99.97862133;4.160422;0.4764863;2.999853;100.0272;0.03828085
0.2541666;24.07897;11.87834;99.97761131;4.145715;0.4742292;2.98572;99.9621;0.03821212
0.2625;24.08886;11.87821;99.97651713;4.130523;0.4718958;2.971115;99.9483;0.03821194
0.2708334;24.09302;11.8781;99.97559128;4.115459;0.469582;2.956631;100.022;0.03821186
0.2791667;24.1098;11.87798;99.97458126;4.100303;0.467247;2.94203;100.0596;0.03821156
0.2875;24.11748;11.87786;99.97357125;4.084863;0.4648682;2.927154;99.93616;0.03821142
0.2958333;24.12814;11.87774;99.97256123;4.070004;0.4625754;2.912824;100.0064;0.03821122
0.3041667;24.13858;11.87763;99.97163538;4.054834;0.4602325;2.898186;100.0608;0.03821104
0.3125;24.16222;11.87752;99.97070954;4.039585;0.4578706;2.883441;99.95299;0.0382106
0.3208333;24.16715;11.87741;99.96978369;4.024267;0.4554968;2.868625;99.97168;0.0381473
0.3291667;24.18418;11.8773;99.96885784;4.008728;0.4530872;2.853588;100.0514;0.03814754
0.3375;24.19839;11.87721;99.96810033;3.993245;0.450687;2.838608;100.0438;0.03814773
0.3458333;24.22563;11.87711;99.96725865;3.978037;0.4483224;2.823863;99.91882;0.03814812
0.3541666;24.23906;11.87698;99.96616446;3.962686;0.4459308;2.80896;100.0042;0.03814831
0.3625;24.25556;11.87687;99.96523862;3.947267;0.4435277;2.793986;100.0372;0.03809235
0.3708334;24.27081;11.87679;99.96456527;3.931684;0.4410967;2.778842;99.98428;0.03809247
0.3791666;24.29378;11.87669;99.96372359;3.915818;0.4386178;2.763405;99.98937;0.03809265
0.3875;24.3132;11.87655;99.96254524;3.89977;0.436109;2.747786;100.0232;0.0380928
0.3958334;24.33786;11.87642;99.96145106;3.883643;0.4335848;2.732075;100.0108;0.038093
0.4041666;24.35324;11.8763;99.96044104;3.867672;0.431081;2.716498;99.96668;0.03804273
0.4125;24.38152;11.87618;99.95943102;3.851422;0.4285306;2.700635;99.98891;0.03804238
0.4208333;24.4055;11.87602;99.95808434;3.834846;0.4259254;2.684438;100.0435;0.03804207
0.4291667;24.42966;11.87586;99.95673765;3.818363;0.423334;2.668326;99.98788;0.03804176
0.4375;24.45214;11.8757;99.95539096;3.801503;0.4206844;2.651849;100.0232;0.03799416
0.4458333;24.48056;11.87556;99.95421261;3.784456;0.4180016;2.635171;99.98219;0.03799206
0.4541667;24.51206;11.87538;99.95269758;3.767596;0.4153402;2.61864;99.98766;0.03798972
0.4625;24.5406;11.87519;99.95109839;3.750722;0.4126721;2.602075;99.9912;0.03798756
0.4708334;24.57658;11.87501;99.94958337;3.734188;0.4100495;2.585808;99.97784;0.03793872
0.4791666;24.60416;11.87485;99.94823668;3.717654;0.4074239;2.569524;100.0431;0.0379396
0.4875;24.63201;11.87468;99.94680582;3.700806;0.4047472;2.552924;100.0014;0.0379405
0.4958334;24.66892;11.87449;99.94520663;3.683962;0.4020666;2.536308;99.99334;0.03789761
0.5041666;24.70476;11.87433;99.94385994;3.667052;0.3993711;2.519604;100.0183;0.03789704
0.5125;24.73108;11.8742;99.94276576;3.649805;0.396623;2.502569;99.9433;0.03789663
0.5208332;24.76538;11.87404;99.94141907;3.632694;0.3938928;2.48565;100.0202;0.0378565
0.5291666;24.8039;11.87386;99.93990405;3.615642;0.3911662;2.468762;100.0243;0.03785622
0.5375;24.84046;11.87368;99.93838902;3.598374;0.3884036;2.45165;100.0109;0.03781969
0.5458334;24.87837;11.87352;99.93704234;3.580922;0.3856118;2.434354;100.0324;0.03782109
0.5541668;24.91274;11.87338;99.93586398;3.563317;0.3827959;2.416904;99.93359;0.03782238
0.5625;24.9573;11.87321;99.93443313;3.545547;0.379951;2.399278;100.0013;0.03779214
0.5708332;24.99426;11.87303;99.9329181;3.527565;0.3770687;2.38142;99.9883;0.03779206
0.5791666;25.04316;11.87286;99.93148725;3.509531;0.3741744;2.363494;100.0182;0.03776426
0.5875;25.08794;11.87268;99.92997222;3.491622;0.3712961;2.34567;100.0158;0.03776465
0.5958334;25.12462;11.87248;99.92828886;3.473574;0.3683921;2.327688;99.95836;0.0377402
0.6041668;25.16585;11.87233;99.92702634;3.455542;0.3654874;2.309705;100.0341;0.03773979
0.6125;25.21144;11.87215;99.92551132;3.437425;0.3625684;2.29163;99.96069;0.03773932
0.6208334;25.26822;11.87198;99.92408046;3.41927;0.3596375;2.273488;100.0409;0.03771497
0.6291666;25.31219;11.8718;99.92256544;3.401254;0.3567224;2.255451;99.99791;0.0377142
0.6375;25.35177;11.8716;99.92088208;3.382784;0.3537371;2.236969;99.98476;0.037692
0.6458332;25.4082;11.8714;99.91919872;3.364183;0.3507292;2.218346;100.0063;0.03769417
0.6541666;25.45949;11.87119;99.91743119;3.345582;0.3477163;2.199695;99.98676;0.03767725
0.6625;25.50412;11.87097;99.9155795;3.326953;0.3446987;2.181011;99.98954;0.03767792
0.6708334;25.56364;11.87075;99.9137278;3.308241;0.3416672;2.162236;100.0334;0.0376645
0.6791668;25.60954;11.87053;99.9118761;3.289675;0.3386533;2.143576;99.97241;0.03766583
0.6875;25.66814;11.87028;99.9097719;3.271069;0.3356265;2.124842;100.0547;0.03765644
0.6958332;25.71655;11.87007;99.90800438;3.252413;0.3325903;2.106046;99.97644;0.03765789
0.7041666;25.77693;11.86986;99.90623685;3.233528;0.3295193;2.087026;99.942;0.03765378
0.7125;25.8316;11.86964;99.90438515;3.214554;0.3264325;2.067903;99.99988;0.03765438
0.7208334;25.88958;11.86942;99.90253346;3.195912;0.3233902;2.049068;100.0354;0.03765534
0.7291668;25.9512;11.86918;99.90051342;3.17726;0.320344;2.030205;99.99774;0.03765674
0.7375;26.0081;11.86896;99.89866173;3.158495;0.3172792;2.011221;100.0454;0.0376585
0.7458334;26.06814;11.86872;99.8966417;3.139545;0.3141818;1.992033;99.94584;0.0376627
0.7541666;26.13336;11.86848;99.89462166;3.120318;0.3110394;1.972559;100.0742;0.03766397
0.7625;26.19244;11.86824;99.89260163;3.100845;0.3078594;1.95284;99.98038;0.03767197
0.7708332;26.25117;11.868;99.8905816;3.081015;0.3046232;1.932764;99.92189;0.03768504
0.7791666;26.31905;11.86773;99.88830906;3.061183;0.3013832;1.912662;100.0329;0.03768884
0.7875;26.38432;11.86746;99.88603653;3.041589;0.2981752;1.892763;100.0028;0.03770709
0.7958334;26.44204;11.86718;99.88367982;3.021494;0.294893;1.872384;100.0001;0.03771072
