Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.000555556;27.34043;14.68121;100.0014304;1.498778;0.06294363;0.4013535;99.92829;0.07630901
0.004166667;27.38182;14.68131;100.0021116;1.506938;0.06361537;0.4058895;100.0197;0.0762975
0.0125;27.41832;14.68146;100.0031333;1.507133;0.06362502;0.4059602;99.97525;0.0762584
0.02083334;27.45532;14.68154;100.0036782;1.507546;0.06365498;0.406166;100.0819;0.0762147
0.02916666;27.4903;14.68161;100.004155;1.508626;0.06377188;0.4069328;99.97887;0.07620558
0.0375;27.5318;14.68168;100.0046318;1.509741;0.06387959;0.4076478;99.99258;0.07614156
0.04583334;27.57108;14.68171;100.0048362;1.511094;0.06400972;0.4085121;100.003;0.07613103
0.05416668;27.60932;14.68171;100.0048362;1.512692;0.0641627;0.4095288;99.9832;0.07605476
0.0625;27.648;14.68168;100.0046318;1.514696;0.064362;0.410848;99.99436;0.07604656
0.07083332;27.68406;14.6816;100.0040869;1.516721;0.06455176;0.4121125;99.99981;0.07596499
0.07916666;27.72782;14.68151;100.0034739;1.519276;0.06480683;0.4138008;99.99993;0.0759584
0.0875;27.76041;14.68148;100.0032695;1.521905;0.06506562;0.4155167;100.0135;0.07587313
0.09583332;27.79932;14.6814;100.0027246;1.524811;0.0653667;0.4175024;99.98188;0.07577788
0.1041666;27.83296;14.68132;100.0021797;1.52782;0.06568246;0.4195828;99.99775;0.07576904
0.1125;27.87204;14.68124;100.0016348;1.530191;0.06590295;0.4210552;100.0303;0.07575859
0.1208333;27.90831;14.68114;100.0009536;1.532748;0.0661521;0.4227106;100.033;0.07565152
0.1291666;27.94722;14.68104;100.0002725;1.535276;0.0663971;0.4243396;99.94871;0.07564092
0.1375;27.98201;14.68095;99.99965942;1.537178;0.06654938;0.4253761;100.0102;0.07552618
0.1458333;28.0255;14.68082;99.99877393;1.53877;0.06665597;0.4261204;100.0071;0.07540712
0.1541667;28.0604;14.68069;99.99788843;1.540464;0.06677728;0.4269593;99.99347;0.07539934
0.1625;28.09358;14.68056;99.99700293;1.541707;0.06683303;0.4273786;99.97962;0.07539184
0.1708334;28.13648;14.68038;99.99577685;1.542509;0.06682275;0.4273758;99.98758;0.07526482
0.1791666;28.16243;14.68019;99.99448266;1.543164;0.06679188;0.4272406;99.99457;0.07525934
0.1875;28.2014;14.67999;99.99312036;1.543632;0.06673369;0.4269308;100.0049;0.07512794
0.1958334;28.22952;14.6798;99.99182617;1.543905;0.06664778;0.4264428;100.0153;0.07512134
0.2041667;28.27735;14.67958;99.99032763;1.543928;0.06652472;0.4257168;100.0326;0.07498169
0.2125;28.31088;14.67935;99.98876098;1.543452;0.06632655;0.4245104;99.9285;0.07497382
0.2208333;28.34282;14.67909;99.98698999;1.542902;0.06611889;0.4232416;100.0585;0.07483112
0.2291667;28.38256;14.67881;99.98508276;1.541752;0.06582408;0.4214134;100.012;0.07482132
0.2375;28.41715;14.67853;99.98317553;1.540136;0.06545942;0.4191379;99.97168;0.07467112
0.2458334;28.45196;14.67822;99.98106396;1.538151;0.0650398;0.4165098;100.0092;0.07466284
0.2541666;28.4864;14.6779;99.97888427;1.535843;0.06457443;0.4135869;99.9952;0.07450725
0.2625;28.52349;14.67758;99.97670458;1.532978;0.06402452;0.4101226;99.97949;0.07449872
0.2708334;28.56317;14.67724;99.97438867;1.528829;0.06328258;0.4054272;100.0483;0.07433612
0.2791667;28.59668;14.67689;99.97200463;1.524307;0.06248576;0.4003792;99.97774;0.07432842
0.2875;28.62918;14.67649;99.96928002;1.519118;0.06159052;0.3946988;99.99592;0.07432084
