Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.4625;22.81058;14.59986;99.95111933;2.330783;0.2054076;1.28615;99.99208;0.02272468
0.4708334;22.83712;14.59973;99.95022934;2.326239;0.204612;1.281301;100.0234;0.02261779
0.4791666;22.87142;14.59956;99.94906552;2.321656;0.2038078;1.2764;99.97039;0.02261481
0.4875;22.90578;14.59942;99.94810707;2.316977;0.2029862;1.271394;100.0025;0.0226118
0.4958334;22.94065;14.59929;99.94721709;2.311973;0.2021106;1.266052;100.0084;0.02250595
0.5041666;22.97103;14.59915;99.94625864;2.306898;0.2012211;1.260628;99.97663;0.02250344
0.5125;23.0066;14.59902;99.94536866;2.301558;0.2002861;1.254924;99.96891;0.02250046
0.5208332;23.04274;14.59886;99.94427329;2.296095;0.19933;1.249089;100.0243;0.02239728
0.5291666;23.07613;14.5987;99.94317793;2.290901;0.1984135;1.243504;100.0126;0.02239642
0.5375;23.11361;14.59857;99.94228794;2.285487;0.1974578;1.237678;99.99197;0.02230056
0.5458334;23.15343;14.59844;99.94139796;2.279502;0.1964102;1.231281;100.0166;0.02229822
0.5541668;23.18636;14.5983;99.94043952;2.27353;0.1953629;1.224888;99.98872;0.02229626
0.5625;23.22214;14.59818;99.93961799;2.267542;0.1943097;1.218459;100.0131;0.02220236
0.5708332;23.26369;14.59806;99.93879647;2.262144;0.1933466;1.212594;100.0038;0.02219954
0.5791666;23.30498;14.59793;99.93790648;2.256584;0.1923554;1.206555;99.97657;0.02210698
0.5875;23.34533;14.59779;99.93694804;2.251166;0.1913829;1.200635;100.0313;0.0221041
0.5958334;23.38783;14.59762;99.93578421;2.245529;0.190375;1.194494;100.0111;0.02210102
0.6041668;23.4368;14.59749;99.93489423;2.239374;0.1892836;1.187833;99.99191;0.02201001
0.6125;23.4807;14.59737;99.9340727;2.233112;0.1881713;1.181046;99.94412;0.02200868
0.6208334;23.53042;14.59722;99.9330458;2.226988;0.187077;1.174372;100.0269;0.0219222
0.6291666;23.57312;14.59708;99.93208736;2.221002;0.1859998;1.167809;100.038;0.02191928
0.6375;23.62004;14.59695;99.93119737;2.214496;0.184842;1.160739;99.93884;0.02183327
0.6458332;23.67195;14.5968;99.93017047;2.207888;0.1836609;1.15353;100.0065;0.02182999
0.6541666;23.7223;14.59662;99.92893818;2.201043;0.1824412;1.14608;100.0103;0.02174524
0.6625;23.76722;14.59648;99.92797974;2.193975;0.1811856;1.138405;100.0291;0.02174268
0.6708334;23.82037;14.59633;99.92695283;2.186655;0.1798884;1.130469;100.011;0.02166001
0.6791668;23.87028;14.59622;99.92619977;2.17929;0.1785811;1.122471;99.95655;0.02165792
0.6875;23.93067;14.59608;99.92524132;2.172357;0.177336;1.114866;100.0746;0.02157799
0.6958332;23.97945;14.59592;99.92414596;2.165195;0.1760537;1.107026;99.92472;0.02157579
0.7041666;24.03766;14.5958;99.92332443;2.158;0.1747628;1.099135;99.96563;0.02149863
0.7125;24.09194;14.59565;99.92229753;2.15044;0.1734154;1.090886;100.0326;0.0214969
0.7208334;24.14633;14.59551;99.92133908;2.143058;0.1720892;1.082774;99.99762;0.02142326
0.7291668;24.20593;14.59536;99.92031218;2.135727;0.1707715;1.074712;100.0084;0.02135166
0.7375;24.2596;14.59521;99.91928527;2.128181;0.1694176;1.066423;100.0458;0.02134976
0.7458334;24.31526;14.59505;99.91818991;2.120846;0.1680931;1.058318;99.99139;0.02128073
0.7541666;24.37549;14.5949;99.917163;2.113561;0.1667741;1.050248;99.97444;0.02127953
0.7625;24.43721;14.59472;99.91593072;2.105888;0.1653927;1.041785;100.0128;0.02121416
0.7708332;24.50369;14.59456;99.91483535;2.097887;0.1639592;1.032994;99.97343;0.02121173
