Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.003444444;25.17053;11.9869;99.99916576;2.362;0.1999965;1.264883;100.0366;0.06815688
0.004166667;25.21715;11.98686;99.99883207;2.361847;0.1999577;1.264658;99.99272;0.06778874
0.0125;25.25503;11.98676;99.99799783;2.361324;0.1998447;1.263985;100.003;0.06776992
0.02083334;25.28914;11.98669;99.99741387;2.360105;0.1996148;1.262589;100.0237;0.06740237
0.02916666;25.33012;11.98656;99.99632936;2.358451;0.1993021;1.26069;99.96694;0.06738616
0.0375;25.36873;11.98642;99.99516142;2.356438;0.1989206;1.258375;100.0192;0.06702461
0.04583334;25.39905;11.98624;99.9936598;2.35407;0.1984715;1.255649;99.98022;0.06701171
0.05416668;25.43854;11.98605;99.99207475;2.351114;0.1979201;1.252292;100.0212;0.06665082
0.0625;25.47729;11.98582;99.990156;2.347698;0.1972834;1.248415;99.97539;0.0662862
0.07083332;25.51048;11.98559;99.98823726;2.343818;0.196562;1.24402;99.97899;0.0662725
0.07916666;25.54788;11.98535;99.98623509;2.33913;0.1957073;1.238795;100.0415;0.06591388
0.0875;25.58524;11.98508;99.98398265;2.333819;0.1947587;1.232974;99.9743;0.06589704
0.09583332;25.61886;11.98483;99.98189706;2.328323;0.193787;1.227001;99.99572;0.06588166
0.1041666;25.65658;11.98456;99.97964461;2.322926;0.192826;1.221098;99.93243;0.06551872
0.1125;25.68896;11.98426;99.9771419;2.31714;0.1918112;1.214848;100.0602;0.06550586
0.1208333;25.72634;11.98396;99.97463919;2.311052;0.1907514;1.20831;100.0458;0.06514554
0.1291666;25.76143;11.98369;99.97238675;2.304568;0.1896334;1.201401;99.97266;0.06513
0.1375;25.80197;11.9834;99.96996746;2.297914;0.1884885;1.194321;100.0058;0.06476537
0.1458333;25.83218;11.98311;99.96754818;2.291084;0.1873191;1.187082;100.0441;0.06475555
0.1541667;25.86468;11.98281;99.96504547;2.283748;0.1860769;1.179377;99.98957;0.06440342
0.1625;25.90041;11.98247;99.96220906;2.276196;0.1848011;1.171457;99.93388;0.06438862
0.1708334;25.93845;11.98215;99.9595395;2.268702;0.1835342;1.163593;100.0098;0.06402976
0.1791666;25.97765;11.98184;99.95695337;2.260859;0.1822141;1.155389;99.98671;0.06401379
0.1875;26.00708;11.98148;99.95395011;2.252792;0.1808639;1.146989;100.0266;0.06365871
0.1958334;26.04184;11.98115;99.95119713;2.244685;0.1795072;1.138546;99.99415;0.06364496
0.2041667;26.07313;11.98084;99.948611;2.236352;0.1781198;1.129903;99.98972;0.0636324
0.2125;26.10768;11.98049;99.94569117;2.22762;0.1766712;1.120871;100.0469;0.0632748
0.2208333;26.14671;11.98012;99.94260449;2.21906;0.1752502;1.11201;99.93735;0.0632611
0.2291667;26.17465;11.97975;99.93951781;2.210235;0.1737914;1.102905;100.0234;0.0629106
0.2375;26.21184;11.97934;99.93609744;2.201097;0.1722845;1.093494;99.99905;0.06289863
0.2458334;26.25196;11.97896;99.93292734;2.192103;0.1707988;1.084216;99.96641;0.06254871
0.2541666;26.28835;11.97858;99.92975724;2.182934;0.169287;1.07477;100.0361;0.06253596
0.2625;26.3291;11.9782;99.92658714;2.17358;0.1677463;1.065138;100.0197;0.06218632
0.2708334;26.36039;11.97781;99.92333361;2.164054;0.1661809;1.055347;99.98712;0.06217566
0.2791667;26.3929;11.97744;99.92024693;2.15429;0.1645806;1.045331;99.97424;0.06183093
0.2875;26.4273;11.97704;99.91690999;2.144321;0.1629485;1.035111;100.0515;0.06181929
0.2958333;26.47179;11.97664;99.91357304;2.134561;0.1613466;1.025083;99.95434;0.06147104
0.3041667;26.5019;11.97624;99.91023609;2.124126;0.1596446;1.014414;99.99351;0.06146059
0.3125;26.54142;11.97584;99.90689914;2.113496;0.1579111;1.003546;100.0133;0.06144672
0.3208333;26.57812;11.97546;99.90372904;2.103118;0.1562155;0.9929153;100.0342;0.06110137
0.3291667;26.61566;11.97507;99.90047552;2.092846;0.1545365;0.9823868;99.97584;0.06108974
0.3375;26.65226;11.97467;99.89713857;2.08241;0.1528338;0.9717045;99.95712;0.06074854
0.3458333;26.6866;11.97428;99.89388504;2.072038;0.1511434;0.9610947;100.0375;0.06073768
0.3541666;26.72065;11.97387;99.89046467;2.061694;0.1494566;0.9505062;100.0198;0.06039906
0.3625;26.75862;11.97349;99.88729457;2.051615;0.1478089;0.9401641;99.97866;0.06038828
0.3708334;26.7955;11.97309;99.88395762;2.041446;0.1461469;0.9297295;99.96899;0.06005375
0.3791666;26.83192;11.97269;99.88062067;2.030994;0.1444442;0.9190314;100.0226;0.06004166
0.3875;26.87768;11.97228;99.8772003;2.020752;0.1427713;0.9085212;100.0159;0.05970142
0.3958334;26.91476;11.97187;99.87377993;2.010292;0.1410647;0.8977951;99.94494;0.0596905
0.4041666;26.95834;11.97147;99.87044298;1.999634;0.1393275;0.8868725;100.0573;0.05935402
0.4125;26.99766;11.97107;99.86710603;1.988636;0.1375389;0.8756202;100.0305;0.05934199
0.4208333;27.0432;11.97067;99.86376908;1.977738;0.1357631;0.864448;99.95876;0.05900465
0.4291667;27.08142;11.97028;99.86051556;1.967021;0.1340131;0.8534387;99.99868;0.05899312
0.4375;27.11978;11.96991;99.85742888;1.956162;0.1322408;0.8422852;100.0337;0.05898144
0.4458333;27.16195;11.9695;99.85400851;1.945062;0.1304312;0.830893;99.94697;0.05864731
0.4541667;27.20475;11.9691;99.85067156;1.93399;0.1286244;0.8195168;100.0186;0.05831752
0.4625;27.23943;11.96871;99.84741804;1.923058;0.1268383;0.8082688;99.98705;0.05830826
0.4708334;27.29144;11.96834;99.84433136;1.912059;0.1250416;0.7969506;100.0434;0.0579789
0.4791666;27.33014;11.96794;99.84099441;1.901169;0.1232621;0.7857379;100.003;0.057969
0.4875;27.3807;11.96757;99.83790773;1.890556;0.1215213;0.7747706;99.98658;0.0576434
0.4958334;27.41301;11.96721;99.83490448;1.879851;0.1197677;0.7637178;99.99618;0.05763459
0.5041666;27.46184;11.96684;99.8318178;1.869212;0.1180252;0.7527314;99.97288;0.05730806
0.5125;27.50324;11.96644;99.82848085;1.858497;0.1162712;0.741669;100.0431;0.05729788
0.5208332;27.547;11.96604;99.82514391;1.847822;0.1145212;0.7306306;99.99462;0.05697808
0.5291666;27.60066;11.96564;99.82180696;1.837021;0.1127499;0.7194544;99.98131;0.05696404
0.5375;27.6442;11.96525;99.81855343;1.826499;0.1110194;0.7085361;99.99941;0.05664482
0.5458334;27.68842;11.96487;99.81538333;1.815868;0.1092713;0.6975028;100.0134;0.05663384
0.5541668;27.73917;11.96447;99.81204638;1.805315;0.1075339;0.6865348;99.99874;0.05631554
0.5625;27.78224;11.96411;99.80904313;1.795021;0.1058348;0.6758086;99.99511;0.05630574
0.5708332;27.83658;11.96373;99.80587303;1.784782;0.1041427;0.6651238;99.97122;0.05599264
0.5791666;27.88084;11.96333;99.80253608;1.774411;0.1024294;0.6543014;100.0682;0.05598282
0.5875;27.93387;11.96296;99.7994494;1.763817;0.1006808;0.6432511;99.9768;0.055672
0.5958334;27.98544;11.9626;99.79644615;1.753159;0.09891951;0.6321188;99.97231;0.05535912
0.6041668;28.02806;11.9622;99.7931092;1.742818;0.09720581;0.6212867;99.99745;0.05535041
0.6125;28.08199;11.96186;99.7902728;1.732547;0.09550366;0.6105236;99.98809;0.05504484
0.6208334;28.12782;11.96151;99.78735297;1.722467;0.09382862;0.5999316;100.0367;0.05503468
0.6291666;28.18194;11.96111;99.78401602;1.712536;0.09217449;0.58947;99.99944;0.05473032
0.6375;28.23614;11.96074;99.78092934;1.702516;0.09050609;0.578914;99.98984;0.0547179
0.6458332;28.28401;11.96038;99.77792609;1.692523;0.08884001;0.5683703;99.95249;0.05441652
0.6541666;28.33743;11.96002;99.77492283;1.682417;0.08715826;0.5577217;100.0407;0.05411994
0.6625;28.39058;11.95965;99.77183616;1.67263;0.08552184;0.5473606;99.98272;0.05410826
0.6708334;28.4485;11.95927;99.76866605;1.663122;0.08392581;0.5372547;99.9961;0.05380913
0.6791668;28.50234;11.95889;99.76549595;1.653677;0.08233894;0.5272036;100.0083;0.0537988
0.6875;28.55876;11.95854;99.76257612;1.643964;0.08070922;0.5168762;100.0357;0.05350519
