Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.003666666;26.70215;10.72356;99.99589705;-1.246763;-0.3459351;-2.201298;100.0353;0.08680124
0.004166667;26.73566;10.7234;99.99440507;-1.24536;-0.3457333;-2.200052;99.96741;0.08676754
0.0125;26.77356;10.72323;99.99281984;-1.242233;-0.34528;-2.197235;100.0276;0.08672241
0.02083334;26.8134;10.7231;99.99160761;-1.237285;-0.3445618;-2.192764;99.96371;0.08671363
0.02916666;26.84974;10.72292;99.98992913;-1.230579;-0.343588;-2.186699;100.063;0.0866575
0.0375;26.89245;10.72266;99.98750466;-1.221752;-0.3423048;-2.1787;99.97989;0.08664944
0.04583334;26.9261;10.72245;99.98554644;-1.211015;-0.340743;-2.168957;100.0078;0.08658638
0.05416668;26.96766;10.72228;99.98396121;-1.198714;-0.3389556;-2.15781;100.0188;0.08657734
0.0625;27.00522;10.72206;99.98190974;-1.184473;-0.3368854;-2.144894;99.9854;0.08650238
0.07083332;27.04213;10.7219;99.98041775;-1.168338;-0.3345392;-2.130249;99.9709;0.08649246
0.07916666;27.07434;10.72168;99.97836628;-1.150235;-0.3319044;-2.113785;100.0244;0.0864068
0.0875;27.12082;10.72139;99.97566207;-1.13135;-0.329155;-2.096592;99.96704;0.08639819
0.09583332;27.1539;10.72116;99.97351734;-1.112159;-0.326361;-2.079112;100.0209;0.08630876
0.1041666;27.19092;10.72086;99.97071988;-1.09302;-0.3235754;-2.06168;99.94328;0.08630226
0.1125;27.22661;10.72059;99.96820216;-1.073617;-0.3207504;-2.043989;100.0623;0.08620516
0.1208333;27.26513;10.72044;99.96680343;-1.054128;-0.317913;-2.026209;100.0104;0.08619491
0.1291666;27.30691;10.72028;99.96531145;-1.034308;-0.3150278;-2.008124;100.0138;0.08608794
0.1375;27.33935;10.72011;99.96372622;-1.014276;-0.312111;-1.989827;99.98858;0.08597839
0.1458333;27.38204;10.71996;99.96232749;-0.9940419;-0.3091648;-1.971339;99.9659;0.08596856
0.1541667;27.41839;10.71978;99.96064901;-0.9738632;-0.3062285;-1.95291;99.98876;0.08584884
0.1625;27.45772;10.71951;99.95813129;-0.9536268;-0.3032851;-1.934433;100.0148;0.08583969
0.1708334;27.4945;10.71934;99.95654606;-0.9334891;-0.3003564;-1.916041;99.96853;0.08571337
0.1791666;27.52995;10.71917;99.95496084;-0.9134571;-0.2974447;-1.897752;100.0007;0.08570532
0.1875;27.56881;10.71895;99.95290936;-0.8934491;-0.2945375;-1.879486;100.0438;0.08557259
0.1958334;27.60038;10.71877;99.95123088;-0.8736816;-0.2916658;-1.861439;99.99462;0.08556572
0.2041667;27.63594;10.71861;99.9497389;-0.8541132;-0.2888247;-1.843582;100.0015;0.0854286
0.2125;27.67741;10.71839;99.94768743;-0.8350201;-0.2860549;-1.826172;99.99836;0.08541766
0.2208333;27.71392;10.71813;99.94526296;-0.8159024;-0.2832828;-1.808745;100.0117;0.08527016
0.2291667;27.75039;10.71796;99.94367773;-0.796674;-0.2804946;-1.791208;100.0038;0.08526182
0.2375;27.78782;10.71771;99.94134651;-0.7775849;-0.2777281;-1.773804;99.99668;0.08511
0.2458334;27.81889;10.71746;99.93901529;-0.7591996;-0.2750654;-1.757051;99.97291;0.08510475
0.2541666;27.86182;10.71722;99.93677732;-0.7411284;-0.2724511;-1.740606;99.98731;0.08495362
