Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.000777778;24.69379;10.39661;99.99624892;3.464406;0.3680525;2.323501;99.93813;0.09708589
0.004166667;24.6931;10.3965;99.99519092;3.444634;0.3650949;2.304783;100.0672;0.09708634
0.0125;24.68748;10.39639;99.99413292;3.443651;0.3649521;2.303872;99.9768;0.09708988
0.02083334;24.69118;10.3963;99.99326729;3.442122;0.3647272;2.30244;99.97394;0.09708756
0.02916666;24.69066;10.39616;99.99192075;3.43983;0.3643858;2.300277;100.06;0.09708788
0.0375;24.68596;10.39603;99.99067039;3.436936;0.3639553;2.297548;99.94789;0.09709082
0.04583334;24.6769;10.39588;99.98922766;3.433414;0.3634341;2.29424;99.9783;0.09709656
0.05416668;24.6739;10.39574;99.98788112;3.429216;0.3628126;2.290294;100.0398;0.09709844
0.0625;24.67015;10.39556;99.98614985;3.424355;0.3620928;2.285724;99.95908;0.09710079
0.07083332;24.67727;10.39545;99.98509185;3.418346;0.3611994;2.28006;100.0156;0.09709632
0.07916666;24.67705;10.39531;99.98374531;3.41152;0.36018;2.273606;100.0376;0.09709647
0.0875;24.67808;10.39514;99.98211022;3.404125;0.3590744;2.266608;100.0012;0.09709581
0.09583332;24.6694;10.39498;99.98057132;3.396474;0.3579282;2.259358;99.99328;0.09710126
0.1041666;24.66783;10.3948;99.97884005;3.388421;0.356724;2.251738;99.99474;0.09710225
0.1125;24.66588;10.39463;99.97720496;3.380019;0.3554683;2.24379;99.97968;0.09710349
0.1208333;24.67036;10.39443;99.97528133;3.371166;0.3541428;2.235405;99.97915;0.09710068
0.1291666;24.66913;10.39423;99.9733577;3.361806;0.3527359;2.226516;100.0298;0.09710144
0.1375;24.67032;10.39402;99.97133789;3.351874;0.3512407;2.217073;99.98238;0.09710068
0.1458333;24.66767;10.39382;99.96941425;3.341734;0.3497125;2.207426;100.0282;0.09710235
0.1541667;24.67151;10.39357;99.96700971;3.331696;0.3482014;2.197883;99.9975;0.09709992
0.1625;24.67286;10.39334;99.96479754;3.321168;0.346618;2.18788;99.95449;0.09709909
0.1708334;24.67728;10.3931;99.96248918;3.310436;0.345;2.177666;100.0643;0.09709631
0.1791666;24.6807;10.39284;99.95998846;3.29914;0.3432936;2.166901;100.0191;0.09709416
0.1875;24.6808;10.39257;99.95739156;3.287121;0.3414742;2.15543;99.96516;0.09709408
0.1958334;24.67964;10.39228;99.95460229;3.274637;0.3395874;2.143529;99.94679;0.09709484
0.2041667;24.69045;10.39202;99.95210157;3.26186;0.3376521;2.131328;100.0489;0.09708801
0.2125;24.69312;10.39174;99.94940848;3.249254;0.3357413;2.119286;100.0184;0.09708632
0.2208333;24.70071;10.39143;99.94642685;3.236153;0.333753;2.106758;99.92808;0.09708152
0.2291667;24.70567;10.39112;99.94344522;3.222361;0.3316578;2.093562;100.0046;0.09707837
0.2375;24.70926;10.39081;99.9404636;3.20834;0.3295264;2.080138;100.0507;0.09707609
0.2458334;24.71652;10.39049;99.93738578;3.194314;0.3273908;2.066695;99.99482;0.09639395
0.2541666;24.72704;10.39016;99.93421179;3.179932;0.3252013;2.052911;99.99647;0.0963872
0.2625;24.732;10.38983;99.9310378;3.16524;0.3229629;2.038822;99.951;0.09638399
0.2708334;24.73855;10.38951;99.92795999;3.150615;0.3207338;2.024794;100.0356;0.09637976
0.2791667;24.74492;10.38915;99.92449745;3.13578;0.3184672;2.010537;99.96916;0.09637564
0.2875;24.7488;10.38879;99.92103491;3.120611;0.3161528;1.995975;100.0125;0.09637313
0.2958333;24.76464;10.38841;99.91738001;3.104869;0.3137494;1.980855;100.0172;0.09636284
0.3041667;24.77558;10.38806;99.91401366;3.089397;0.3113838;1.965977;100.0191;0.0963557
0.3125;24.7865;10.3877;99.91055112;3.073513;0.3089556;1.950705;99.99899;0.09634852
0.3208333;24.80522;10.38734;99.90708858;3.057139;0.3064454;1.934928;100.0067;0.09633619
0.3291667;24.81405;10.38697;99.90352986;3.040171;0.3038455;1.918584;99.99016;0.09566092
0.3375;24.82944;10.38659;99.89987496;3.023136;0.3012321;1.90216;99.98788;0.09565284
0.3458333;24.84788;10.3862;99.89612388;3.00624;0.2986364;1.885852;100.0132;0.09564309
0.3541666;24.8638;10.38581;99.8923728;2.9892;0.2960127;1.869377;99.99538;0.09563466
0.3625;24.87737;10.38544;99.88881408;2.972247;0.2934019;1.852982;99.98145;0.09562743
0.3708334;24.89784;10.38505;99.885063;2.955121;0.2907567;1.836383;100.0298;0.09496918
0.3791666;24.91048;10.38466;99.88131192;2.93744;0.2880278;1.819254;99.97056;0.09496222
0.3875;24.93477;10.3843;99.87784938;2.919419;0.2852446;1.801786;99.96031;0.09494884
0.3958334;24.94801;10.3839;99.87400212;2.90172;0.2825064;1.784606;99.9937;0.09494151
0.4041666;24.9662;10.38348;99.86996249;2.884016;0.279769;1.767427;99.99474;0.09493137
0.4125;24.99128;10.38308;99.86611523;2.866166;0.2770041;1.750082;100.069;0.09428445
0.4208333;25.01066;10.38267;99.86217178;2.848087;0.2742023;1.732505;99.94989;0.09427438
0.4291667;25.03242;10.38225;99.85813215;2.830108;0.2714143;1.715015;100.0693;0.094263
0.4375;25.06349;10.38182;99.85399635;2.811958;0.2685967;1.697343;100.0072;0.09424663
0.4458333;25.08488;10.38138;99.84976436;2.793566;0.2657382;1.679416;99.96311;0.09423524
0.4541667;25.10888;10.38094;99.84553237;2.775427;0.2629168;1.661724;99.96682;0.09360403
0.4625;25.13414;10.38053;99.84158892;2.757237;0.2600825;1.643956;99.99895;0.09358992
0.4708334;25.1624;10.3801;99.83745311;2.73909;0.257253;1.626218;100.0303;0.093574
0.4791666;25.1908;10.37968;99.83341348;2.720758;0.2543911;1.60828;99.97903;0.09294702
0.4875;25.22376;10.37926;99.82937386;2.702458;0.2515291;1.590346;100.0297;0.0929309
0.4958334;25.24916;10.37884;99.82533423;2.684191;0.2486697;1.57243;100.0415;0.09291836
