Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
0.000555556;26.79463;14.64714;100.0009558;0.2019764;-0.1291053;-0.8213653;100.0212;0.08545168
0.004166667;26.82747;14.64719;100.0012972;0.2307699;-0.1252726;-0.7975476;100.0057;0.08540985
0.0125;26.87109;14.64721;100.0014337;0.2321463;-0.1250803;-0.7963386;99.98675;0.08539955
0.02083334;26.91506;14.64719;100.0012972;0.2342204;-0.1247958;-0.7945558;100.0114;0.08534455
0.02916666;26.95659;14.64714;100.0009558;0.2371146;-0.1244005;-0.7920813;99.96829;0.0852829
0.0375;26.99473;14.6471;100.0006827;0.2404468;-0.12395;-0.7892666;99.99732;0.08527462
0.04583334;27.04328;14.64704;100.0002731;0.2448632;-0.1233505;-0.7855172;100.0658;0.0852016
0.05416668;27.0755;14.64696;99.99972691;0.2502184;-0.1226213;-0.7809521;99.92447;0.08519547
0.0625;27.11232;14.64685;99.9989759;0.256348;-0.1217856;-0.7757184;100.0331;0.08511899
0.07083332;27.1567;14.64673;99.99815662;0.2630972;-0.1208688;-0.7699804;100.0314;0.08503563
0.07916666;27.20195;14.6466;99.99726907;0.2705836;-0.1198554;-0.7636408;99.97731;0.08502731
0.0875;27.23264;14.64648;99.99644978;0.278462;-0.1187902;-0.7569765;100.0094;0.08493934
0.09583332;27.2791;14.6463;99.99522086;0.285952;-0.1177839;-0.750686;99.92961;0.0849272
0.1041666;27.31661;14.64614;99.99412849;0.2936375;-0.1167477;-0.7442019;100.0467;0.08482675
0.1125;27.35449;14.64598;99.99303612;0.3014362;-0.1156934;-0.7375985;100.02;0.08471899
0.1208333;27.39626;14.64579;99.99173892;0.3093116;-0.1146295;-0.7309339;99.99725;0.08470936
0.1291666;27.43869;14.64559;99.99037346;0.3164994;-0.1136662;-0.7249062;99.95936;0.08459246
0.1375;27.47732;14.64537;99.98887144;0.3236345;-0.112712;-0.718935;100.0139;0.08458153
0.1458333;27.51043;14.64514;99.98730115;0.3304834;-0.1118019;-0.7132447;99.98363;0.08445486
0.1541667;27.54476;14.64488;99.98552605;0.3371714;-0.1109131;-0.707686;99.98939;0.08444672
0.1625;27.58496;14.6446;99.98361439;0.343666;-0.1100505;-0.7022893;100.0401;0.08431322
0.1708334;27.6219;14.64432;99.98170274;0.3495385;-0.1092832;-0.6975019;99.94732;0.08430526
0.1791666;27.6612;14.64406;99.97992763;0.35544;-0.1085104;-0.6926759;100.0608;0.08416749
0.1875;27.69856;14.64377;99.9779477;0.3611696;-0.1077633;-0.6880122;99.96649;0.08415731
0.1958334;27.74324;14.64345;99.97576295;0.3664111;-0.1070904;-0.683822;100.0142;0.0840087
0.2041667;27.76866;14.64315;99.97371475;0.3713854;-0.1064547;-0.6798652;99.99203;0.08400199
0.2125;27.80972;14.64284;99.97159828;0.3758944;-0.1058871;-0.6763414;99.99472;0.0838468
0.2208333;27.84888;14.64248;99.96914044;0.3798692;-0.1053988;-0.673323;100.0032;0.08383805
0.2291667;27.88641;14.64212;99.9666826;0.3837053;-0.1049319;-0.6704399;100.0575;0.08368026
0.2375;27.92119;14.64175;99.96415648;0.3871422;-0.1045259;-0.6679472;99.96469;0.08367125
0.2458334;27.96293;14.64139;99.96169864;0.3901316;-0.1041872;-0.6658838;100.0175;0.08350578
